Rk,Player,Nation,Pos,Primary_Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1,Brenden Aaronson,us USA,MFFW,MF,Leeds United,eng Premier League,24,2000,27.2,4,47,17,36.2,1.73,0.62,0.09,0.24,0,0
2,Jerome Abbey,eng ENG,MF,MF,Wolves,eng Premier League,15,2009,0.2,0,0,0,0,0,0,0,0,0,0
3,Zach Abbott,eng ENG,DF,DF,Nottingham,eng Premier League,19,2006,1.8,0,0,0,0,0,0,0,0,0,0
4,Jones El-Abdellaoui,ma MAR,MFFW,MF,Celta Vigo,es La Liga,19,2006,7.6,2,17,4,23.5,2.25,0.53,0.12,0.5,0,0
5,Himad Abdelli,dz ALG,MF,MF,Marseille,fr Ligue 1,25,1999,1.5,0,4,1,25,2.61,0.65,0,0,0,0
6,Himad Abdelli,dz ALG,MF,MF,Angers,fr Ligue 1,25,1999,10.5,2,11,5,45.5,1.05,0.48,0,0,2,2
7,Ali Abdi,tn TUN,MFDF,MF,Nice,fr Ligue 1,31,1993,13.2,3,16,4,25,1.21,0.3,0.19,0.75,0,0
8,Salis Abdul Samed,gh GHA,MF,MF,Nice,fr Ligue 1,25,2000,10.1,0,1,0,0,0.1,0,0,0,0,0
9,Saud Abdulhamid,sa KSA,MF,MF,Lens,fr Ligue 1,26,1999,15,2,8,3,37.5,0.53,0.2,0.25,0.67,0,0
10,Tay Abed,il ISR,MF,MF,Levante,es La Liga,21,2004,1,0,2,1,50,1.94,0.97,0,0,0,0
11,Laurent Abergel,fr FRA,MF,MF,Lorient,fr Ligue 1,32,1993,25.8,1,22,5,22.7,0.85,0.19,0.05,0.2,0,0
12,Matthis Abline,fr FRA,FWMF,FW,Nantes,fr Ligue 1,22,2003,27.7,6,84,22,26.2,3.03,0.79,0.07,0.27,0,1
13,Abner,br BRA,DFMF,DF,Lyon,fr Ligue 1,25,2000,23.9,3,17,7,41.2,0.71,0.29,0.18,0.43,0,0
14,Zakaria Aboukhlal,ma MAR,MF,MF,Torino,it Serie A,25,2000,5.7,0,7,2,28.6,1.23,0.35,0,0,0,0
15,Abdel Abqar,ma MAR,DF,DF,Getafe,es La Liga,26,1999,16,0,7,1,14.3,0.44,0.06,0,0,0,0
16,Tammy Abraham,eng ENG,FW,FW,Aston Villa,eng Premier League,27,1997,3.2,2,9,3,33.3,2.83,0.94,0.22,0.67,0,0
17,Francis Abu,gh GHA,MF,MF,Toulouse,fr Ligue 1,24,2001,5.8,0,6,0,0,1.03,0,0,0,0,0
18,Giorgi Abuashvili,ge GEO,MFFW,MF,Metz,fr Ligue 1,22,2003,7.8,2,23,9,39.1,2.97,1.16,0.09,0.22,0,0
19,Mathieu Acapandié,mg MAD,DFMF,DF,Nantes,fr Ligue 1,20,2004,2.9,0,0,0,0,0,0,0,0,0,0
20,Francesco Acerbi,it ITA,DF,DF,Inter,it Serie A,37,1988,15.3,0,3,1,33.3,0.2,0.07,0,0,0,0
21,Ragnar Ache,de GER,FW,FW,Köln,de Bundesliga,27,1998,19.1,7,52,22,42.3,2.72,1.15,0.13,0.32,0,0
22,Joshua Acheampong,eng ENG,DF,DF,Chelsea,eng Premier League,19,2006,7.4,1,4,2,50,0.54,0.27,0.25,0.5,0,0
23,Akor Adams,ng NGA,FW,FW,Sevilla,es La Liga,25,2000,22.9,10,61,30,49.2,2.66,1.31,0.11,0.23,3,3
24,Ché Adams,sct SCO,FW,FW,Torino,it Serie A,29,1996,21,6,53,18,34,2.52,0.86,0.11,0.33,0,0
25,Tyler Adams,us USA,MF,MF,Bournemouth,eng Premier League,26,1999,19.7,2,10,6,60,0.51,0.3,0.2,0.33,0,0
26,Junior Adamu,at AUT,FW,FW,Freiburg,de Bundesliga,24,2001,5,1,8,3,37.5,1.61,0.61,0.13,0.33,0,0
27,Tosin Adarabioyo,eng ENG,DF,DF,Chelsea,eng Premier League,27,1997,8.8,0,2,0,0,0.23,0,0,0,0,0
28,Jayden Addai,nl NED,MF,MF,Como,it Serie A,19,2005,7.6,3,13,6,46.2,1.71,0.79,0.23,0.5,0,0
29,Karim Adeyemi,de GER,MFFW,MF,Dortmund,de Bundesliga,23,2002,13.3,7,31,14,45.2,2.33,1.05,0.23,0.5,0,0
30,Simon Adingra,ci CIV,MFFW,MF,Sunderland,eng Premier League,23,2002,7.3,1,6,2,33.3,0.83,0.28,0.17,0.5,0,0
31,Simon Adingra,ci CIV,MFFW,MF,Monaco,fr Ligue 1,23,2002,9.5,3,22,6,27.3,2.32,0.63,0.14,0.5,0,0
32,Nathaniel Adjei,gh GHA,DF,DF,Lorient,fr Ligue 1,22,2002,9.3,0,4,2,50,0.43,0.22,0,0,0,0
33,Jonas Adjetey,gh GHA,DF,DF,Wolfsburg,de Bundesliga,21,2003,1.5,0,3,0,0,1.97,0,0,0,0,0
34,Amine Adli,ma MAR,MF,MF,Bournemouth,eng Premier League,25,2000,12.2,3,20,9,45,1.65,0.74,0.15,0.33,0,0
35,Adrián,es ESP,GK,GK,Real Betis,es La Liga,38,1987,1,0,0,0,0,0,0,0,0,0,0
36,Vasilije Adžić,me MNE,MF,MF,Juventus,it Serie A,19,2006,1.9,1,6,4,66.7,3.16,2.11,0.17,0.25,0,0
37,Michel Aebischer,ch SUI,MF,MF,Pisa,it Serie A,28,1997,32.1,1,19,5,26.3,0.59,0.16,0.05,0.2,0,0
38,David Affengruber,at AUT,DF,DF,Elche,es La Liga,24,2001,32.8,1,14,4,28.6,0.43,0.12,0.07,0.25,0,0
39,Dapo Afolayan,eng ENG,MF,MF,St Pauli,de Bundesliga,27,1997,1.7,0,4,2,50,2.4,1.2,0,0,0,0
40,Emmanuel Agbadou,ci CIV,DF,DF,Wolves,eng Premier League,28,1997,12.2,0,10,3,30,0.82,0.25,0,0,0,0
41,Julen Agirrezabala,es ESP,GK,GK,Valencia,es La Liga,24,2000,18,0,0,0,0,0,0,0,0,0,0
42,Lucien Agoume,fr FRA,MF,MF,Sevilla,es La Liga,23,2002,29.8,1,15,2,13.3,0.5,0.07,0.07,0.5,0,0
43,Felix Agu,ng NGA,DFMF,DF,Werder Bremen,de Bundesliga,25,1999,8.3,0,2,1,50,0.24,0.12,0,0,0,0
44,Diego Aguado,es ESP,DF,DF,Real Madrid,es La Liga,18,2007,0.3,0,0,0,0,0,0,0,0,0,0
45,Marc Aguado,es ESP,MF,MF,Elche,es La Liga,25,2000,27.8,1,3,2,66.7,0.11,0.07,0.33,0.5,0,0
46,Pablo Agudín,es ESP,MF,MF,Oviedo,es La Liga,17,2007,1,0,2,0,0,2,0,0,0,0,0
47,Nayef Aguerd,ma MAR,DF,DF,Marseille,fr Ligue 1,29,1996,15.5,1,10,2,20,0.64,0.13,0.1,0.5,0,0
48,Nayef Aguerd,ma MAR,DF,DF,West Ham,eng Premier League,29,1996,2,0,2,0,0,1,0,0,0,0,0
49,Ruben Aguilar,fr FRA,MF,MF,Lens,fr Ligue 1,32,1993,19.1,2,13,3,23.1,0.68,0.16,0.15,0.67,0,0
50,Ibai Aguirre,es ESP,MF,MF,Real Sociedad,es La Liga,18,2007,0.1,0,0,0,0,0,0,0,0,0,0
51,Naouirou Ahamada,fr FRA,MF,MF,Auxerre,fr Ligue 1,23,2002,7.6,0,6,1,16.7,0.79,0.13,0,0,0,0
52,Honest Ahanor,it ITA,DF,DF,Atalanta,it Serie A,17,2008,15.3,0,13,4,30.8,0.85,0.26,0,0,0,0
53,Lucas Ahijado,es ESP,DF,DF,Oviedo,es La Liga,30,1995,12.2,0,10,2,20,0.82,0.16,0,0,0,0
54,Joseph Aidoo,gh GHA,DF,DF,Celta Vigo,es La Liga,29,1995,7.1,0,2,0,0,0.28,0,0,0,0,0
55,Ola Aina,ng NGA,DF,DF,Nottingham,eng Premier League,28,1996,17.6,0,12,1,8.3,0.68,0.06,0,0,0,0
56,Abdelhamid Ait Boudlal,ma MAR,DF,DF,Rennes,fr Ligue 1,19,2006,15.6,2,13,4,30.8,0.83,0.26,0.15,0.5,0,0
57,Rayan Aït-Nouri,dz ALG,DF,DF,Manchester City,eng Premier League,24,2001,10.8,0,10,2,20,0.92,0.18,0,0,0,0
58,Tosin Aiyegun,bj BEN,FWMF,FW,Lorient,fr Ligue 1,27,1998,11.9,5,30,12,40,2.52,1.01,0.17,0.42,0,1
59,Junior Ajayi,ci CIV,FW,FW,Hellas Verona,it Serie A,20,2004,0,0,0,0,0,0,0,0,0,0,0
60,Kristoffer Ajer,no NOR,DF,DF,Brentford,eng Premier League,27,1998,20.1,0,10,3,30,0.5,0.15,0,0,0,0
61,Ludovic Ajorque,fr FRA,FW,FW,Brest,fr Ligue 1,31,1994,31.3,8,55,17,30.9,1.76,0.54,0.15,0.47,0,0
62,Manuel Akanji,ch SUI,DF,DF,Inter,it Serie A,30,1995,31.3,2,23,6,26.1,0.73,0.19,0.09,0.33,0,0
63,Nathan Aké,nl NED,DF,DF,Manchester City,eng Premier League,30,1995,7.7,0,7,1,14.3,0.91,0.13,0,0,0,0
